LOC124418406	LOC124418406	Gene Expression
LOC121106832	LOC121106832	Gene Expression
LOC107049418	LOC107049418	Gene Expression
LOC124417607	LOC124417607	Gene Expression
RNF212B	RNF212B	Gene Expression
CARMIL3	CARMIL3	Gene Expression
DHRS4	DHRS4	Gene Expression
LOC121106805	LOC121106805	Gene Expression
LOC121110902	LOC121110902	Gene Expression
LOC121107380	LOC121107380	Gene Expression
LOC121110878	LOC121110878	Gene Expression
LOC121107381	LOC121107381	Gene Expression
LOC112531646	LOC112531646	Gene Expression
LOC121107383	LOC121107383	Gene Expression
LOC121110879	LOC121110879	Gene Expression
LOC121110880	LOC121110880	Gene Expression
LOC121109522	LOC121109522	Gene Expression
LOC121109525	LOC121109525	Gene Expression
LOC121109523	LOC121109523	Gene Expression
LOC112531610	LOC112531610	Gene Expression
CLC2DL4	CLC2DL4	Gene Expression
LOC121113333	LOC121113333	Gene Expression
LOC112532872	LOC112532872	Gene Expression
LOC776463	LOC776463	Gene Expression
LOC121113327	LOC121113327	Gene Expression
LOC121113351	LOC121113351	Gene Expression
LOC121109244	LOC121109244	Gene Expression
LOC121109239	LOC121109239	Gene Expression
LOC101747821	LOC101747821	Gene Expression
LOC121113360	LOC121113360	Gene Expression
LOC121113328	LOC121113328	Gene Expression
LOC107055489	LOC107055489	Gene Expression
LOC121106485	LOC121106485	Gene Expression
CLC2DL5	CLC2DL5	Gene Expression
LOC124418403	LOC124418403	Gene Expression
LOC121109243	LOC121109243	Gene Expression
LOC121113330	LOC121113330	Gene Expression
LOC121113331	LOC121113331	Gene Expression
LOC121109246	LOC121109246	Gene Expression
LOC121109235	LOC121109235	Gene Expression
LOC124418405	LOC124418405	Gene Expression
CD69L	CD69L	Gene Expression
LOC124418404	LOC124418404	Gene Expression
LOC121113329	LOC121113329	Gene Expression
LOC107049847	LOC107049847	Gene Expression
LOC121113363	LOC121113363	Gene Expression
LOC430443	LOC430443	Gene Expression
GOLGB1	GOLGB1	Gene Expression
HCLS1	HCLS1	Gene Expression
OR9Q1	OR9Q1	Gene Expression
NME6	NME6	Gene Expression
RABL2A	RABL2A	Gene Expression
ACR	ACR	Gene Expression
ARSA	ARSA	Gene Expression
ACRL	ACRL	Gene Expression
MIR12207	MIR12207	Gene Expression
SHANK3	SHANK3	Gene Expression
MIR6708	MIR6708	Gene Expression
MIR1604	MIR1604	Gene Expression
LOC121109250	LOC121109250	Gene Expression
LOC124417014	LOC124417014	Gene Expression
LOC124417137	LOC124417137	Gene Expression
LOC124417863	LOC124417863	Gene Expression
PAX4	PAX4	Gene Expression
ARF5	ARF5	Gene Expression
GCC1	GCC1	Gene Expression
